#options: 380x288 fps=72/1 timebase=1/72 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=54 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=81 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=cbr mbtree=1 bitrate=94 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=94 vbv_bufsize=64 nal_hrd=none filler=0 ip_ratio=0.02 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:69.00 aq:51.00 tex:74 mv:195 misc:99 imb:432 pmb:0 smb:0 d:- ref:;
in:92 out:93 type:b dur:2 cpbdur:2 q:41.01 aq:40.00 tex:0 mv:3 misc:117 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:39.94 aq:28.91 tex:57 mv:15 misc:144 imb:1 pmb:2 smb:429 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:38.79 aq:30.52 tex:1197 mv:525 misc:342 imb:29 pmb:38 smb:365 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:38.55 aq:30.27 tex:1364 mv:360 misc:324 imb:20 pmb:39 smb:373 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:39.36 aq:38.39 tex:19 mv:38 misc:159 imb:0 pmb:7 smb:425 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:39.81 aq:40.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:39.35 aq:40.00 tex:0 mv:12 misc:132 imb:0 pmb:4 smb:428 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:39.47 aq:32.09 tex:60 mv:20 misc:144 imb:2 pmb:1 smb:429 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:38.61 aq:30.01 tex:1238 mv:443 misc:367 imb:24 pmb:40 smb:368 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:38.54 aq:31.47 tex:1327 mv:328 misc:297 imb:11 pmb:34 smb:387 d:- ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:39.13 aq:37.00 tex:21 mv:41 misc:154 imb:1 pmb:7 smb:424 d:- ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:39.65 aq:40.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:39.14 aq:41.00 tex:2 mv:13 misc:129 imb:0 pmb:6 smb:426 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:40.04 aq:32.00 tex:24 mv:29 misc:139 imb:0 pmb:3 smb:429 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:38.29 aq:30.83 tex:1519 mv:503 misc:338 imb:16 pmb:53 smb:363 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:37.76 aq:30.79 tex:1394 mv:309 misc:321 imb:13 pmb:42 smb:377 d:- ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:38.85 aq:39.00 tex:1 mv:22 misc:161 imb:0 pmb:10 smb:422 d:- ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:39.91 aq:40.00 tex:3 mv:17 misc:132 imb:0 pmb:6 smb:426 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:38.86 aq:41.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:38.62 aq:30.56 tex:802 mv:429 misc:305 imb:24 pmb:30 smb:378 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:39.10 aq:32.06 tex:753 mv:255 misc:248 imb:8 pmb:26 smb:398 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:39.08 aq:42.00 tex:3 mv:28 misc:169 imb:0 pmb:11 smb:421 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:39.08 aq:43.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:39.09 aq:43.00 tex:1 mv:17 misc:150 imb:0 pmb:10 smb:422 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:40.42 aq:40.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:39.89 aq:33.00 tex:639 mv:345 misc:240 imb:20 pmb:21 smb:391 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:40.25 aq:34.03 tex:628 mv:317 misc:255 imb:12 pmb:28 smb:392 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:40.24 aq:43.00 tex:2 mv:20 misc:154 imb:0 pmb:9 smb:423 d:- ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:40.24 aq:44.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:40.25 aq:45.00 tex:1 mv:21 misc:130 imb:0 pmb:9 smb:423 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:42.44 aq:33.22 tex:97 mv:2 misc:125 imb:0 pmb:1 smb:431 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:40.55 aq:31.50 tex:764 mv:375 misc:301 imb:20 pmb:30 smb:382 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:39.90 aq:34.20 tex:1088 mv:358 misc:306 imb:15 pmb:40 smb:377 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:40.66 aq:42.00 tex:4 mv:49 misc:147 imb:0 pmb:6 smb:426 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:41.47 aq:43.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:40.65 aq:43.00 tex:1 mv:11 misc:124 imb:0 pmb:5 smb:427 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:40.91 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:40.54 aq:34.86 tex:525 mv:255 misc:244 imb:7 pmb:23 smb:402 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:41.32 aq:42.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:41.55 aq:34.72 tex:870 mv:355 misc:319 imb:21 pmb:28 smb:383 d:- ref:0 w:6,63,1 ;
in:134 out:133 type:P dur:2 cpbdur:2 q:41.72 aq:41.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:41.71 aq:46.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:41.50 aq:33.69 tex:650 mv:363 misc:347 imb:20 pmb:31 smb:381 d:- ref:0 w:7,127,0 ;
in:139 out:136 type:P dur:2 cpbdur:2 q:41.39 aq:34.44 tex:643 mv:268 misc:257 imb:8 pmb:26 smb:398 d:- ref:0 w:0,1,1 ;
in:137 out:137 type:B dur:2 cpbdur:2 q:41.50 aq:34.22 tex:24 mv:65 misc:167 imb:3 pmb:5 smb:424 d:- ref:0 ;
in:136 out:138 type:b dur:2 cpbdur:2 q:41.50 aq:46.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:41.50 aq:46.00 tex:2 mv:19 misc:139 imb:0 pmb:6 smb:426 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:41.15 aq:37.92 tex:94 mv:12 misc:142 imb:0 pmb:3 smb:429 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:40.38 aq:32.47 tex:1115 mv:633 misc:380 imb:57 pmb:36 smb:339 d:- ref:0 w:0,1,1 ;
in:145 out:142 type:P dur:2 cpbdur:2 q:39.88 aq:32.69 tex:715 mv:346 misc:307 imb:16 pmb:28 smb:388 d:- ref:0 ;
in:143 out:143 type:B dur:2 cpbdur:2 q:40.37 aq:43.00 tex:2 mv:23 misc:159 imb:0 pmb:10 smb:422 d:- ref:0 ;
in:142 out:144 type:b dur:2 cpbdur:2 q:40.37 aq:44.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:432 d:- ref:0 ;
